{'M_BLOCKING=12_avg': 252.183, 'M_BLOCKING=12_best': 252.183, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 252.447, 'M_BLOCKING=16_best': 252.447, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 248.749, 'M_BLOCKING=1_best': 248.749, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 248.16999999999996, 'M_BLOCKING=2_best': 248.16999999999996, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 248.446, 'M_BLOCKING=3_best': 248.446, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 249.435, 'M_BLOCKING=6_best': 249.435, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 250.67999999999995, 'xsmm_reference_best': 250.67999999999995, 'xsmm_reference_cpu_freq': 2.999917, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 358.462, 'M_BLOCKING=12_best': 358.462, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 355.39599999999996, 'M_BLOCKING=16_best': 355.39599999999996, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 359.803, 'M_BLOCKING=1_best': 359.803, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 355.987, 'M_BLOCKING=2_best': 355.987, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 356.174, 'M_BLOCKING=3_best': 356.174, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 356.185, 'M_BLOCKING=6_best': 356.185, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 355.701, 'xsmm_reference_best': 355.701, 'xsmm_reference_cpu_freq': 2.999918, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 388.715, 'M_BLOCKING=12_best': 388.715, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 382.08000000000004, 'M_BLOCKING=16_best': 382.08000000000004, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 373.717, 'M_BLOCKING=1_best': 373.717, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 373.482, 'M_BLOCKING=2_best': 373.482, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 377.69500000000005, 'M_BLOCKING=3_best': 377.69500000000005, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 384.751, 'M_BLOCKING=6_best': 384.751, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 411.418, 'xsmm_reference_best': 411.418, 'xsmm_reference_cpu_freq': 2.999968, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 431.117, 'M_BLOCKING=12_best': 431.117, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 424.49800000000005, 'M_BLOCKING=16_best': 424.49800000000005, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 397.25699999999995, 'M_BLOCKING=1_best': 397.25699999999995, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 398.37, 'M_BLOCKING=2_best': 398.37, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 410.048, 'M_BLOCKING=3_best': 410.048, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 410.506, 'M_BLOCKING=6_best': 410.506, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 430.74300000000005, 'xsmm_reference_best': 430.74300000000005, 'xsmm_reference_cpu_freq': 2.999932, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 472.93600000000004, 'M_BLOCKING=12_best': 472.93600000000004, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 470.918, 'M_BLOCKING=16_best': 470.918, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 442.53700000000003, 'M_BLOCKING=1_best': 442.53700000000003, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 442.203, 'M_BLOCKING=2_best': 442.203, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 456.636, 'M_BLOCKING=3_best': 456.636, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 464.023, 'M_BLOCKING=6_best': 464.023, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 494.236, 'xsmm_reference_best': 494.236, 'xsmm_reference_cpu_freq': 2.999961, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 626.98, 'M_BLOCKING=12_best': 626.98, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 608.025, 'M_BLOCKING=16_best': 608.025, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 620.869, 'M_BLOCKING=1_best': 620.869, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 603.252, 'M_BLOCKING=2_best': 603.252, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 610.591, 'M_BLOCKING=3_best': 610.591, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 639.601, 'M_BLOCKING=6_best': 639.601, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 583.6030000000001, 'xsmm_reference_best': 583.6030000000001, 'xsmm_reference_cpu_freq': 2.999874, 'xsmm_reference_kernel_type': 'sparse'}
{'M_BLOCKING=12_avg': 236.731, 'M_BLOCKING=12_best': 236.731, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 240.899, 'M_BLOCKING=16_best': 240.899, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 236.66499999999996, 'M_BLOCKING=1_best': 236.66499999999996, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 235.963, 'M_BLOCKING=2_best': 235.963, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 235.95000000000005, 'M_BLOCKING=3_best': 235.95000000000005, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 237.049, 'M_BLOCKING=6_best': 237.049, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 232.902, 'xsmm_reference_best': 232.902, 'xsmm_reference_cpu_freq': 2.999943, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 359.90099999999995, 'M_BLOCKING=12_best': 359.90099999999995, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 355.611, 'M_BLOCKING=16_best': 355.611, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 356.226, 'M_BLOCKING=1_best': 356.226, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 355.404, 'M_BLOCKING=2_best': 355.404, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 355.948, 'M_BLOCKING=3_best': 355.948, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 359.13, 'M_BLOCKING=6_best': 359.13, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 356.123, 'xsmm_reference_best': 356.123, 'xsmm_reference_cpu_freq': 2.999892, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 387.011, 'M_BLOCKING=12_best': 387.011, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 379.602, 'M_BLOCKING=16_best': 379.602, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 371.369, 'M_BLOCKING=1_best': 371.369, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 373.602, 'M_BLOCKING=2_best': 373.602, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 375.52, 'M_BLOCKING=3_best': 375.52, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 380.231, 'M_BLOCKING=6_best': 380.231, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 400.078, 'xsmm_reference_best': 400.078, 'xsmm_reference_cpu_freq': 2.999966, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 431.76800000000003, 'M_BLOCKING=12_best': 431.76800000000003, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 425.318, 'M_BLOCKING=16_best': 425.318, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 400.653, 'M_BLOCKING=1_best': 400.653, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 398.602, 'M_BLOCKING=2_best': 398.602, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 403.25, 'M_BLOCKING=3_best': 403.25, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 413.58299999999997, 'M_BLOCKING=6_best': 413.58299999999997, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 436.723, 'xsmm_reference_best': 436.723, 'xsmm_reference_cpu_freq': 2.999926, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'M_BLOCKING=12_avg': 469.853, 'M_BLOCKING=12_best': 469.853, 'M_BLOCKING=12_kernel_type': 'dense', 'M_BLOCKING=16_avg': 471.154, 'M_BLOCKING=16_best': 471.154, 'M_BLOCKING=16_kernel_type': 'dense', 'M_BLOCKING=1_avg': 445.338, 'M_BLOCKING=1_best': 445.338, 'M_BLOCKING=1_kernel_type': 'dense', 'M_BLOCKING=2_avg': 442.28, 'M_BLOCKING=2_best': 442.28, 'M_BLOCKING=2_kernel_type': 'dense', 'M_BLOCKING=3_avg': 456.919, 'M_BLOCKING=3_best': 456.919, 'M_BLOCKING=3_kernel_type': 'dense', 'M_BLOCKING=6_avg': 463.987, 'M_BLOCKING=6_best': 463.987, 'M_BLOCKING=6_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 442.966, 'xsmm_reference_best': 442.966, 'xsmm_reference_cpu_freq': 2.999928, 'xsmm_reference_kernel_type': 'sparse'}
