{'N_BLOCKING=1_avg': 247.337, 'N_BLOCKING=1_best': 247.337, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 242.115, 'N_BLOCKING=2_best': 242.115, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 244.24, 'N_BLOCKING=3_best': 244.24, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 249.623, 'xsmm_reference_best': 249.623, 'xsmm_reference_cpu_freq': 2.999908, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 355.473, 'N_BLOCKING=1_best': 355.473, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 368.755, 'N_BLOCKING=2_best': 368.755, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 353.474, 'N_BLOCKING=3_best': 353.474, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 368.80499999999995, 'xsmm_reference_best': 368.80499999999995, 'xsmm_reference_cpu_freq': 2.999873, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 367.77, 'N_BLOCKING=1_best': 367.77, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 411.01, 'N_BLOCKING=2_best': 411.01, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 384.321, 'N_BLOCKING=3_best': 384.321, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 404.853, 'xsmm_reference_best': 404.853, 'xsmm_reference_cpu_freq': 2.999957, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 391.57, 'N_BLOCKING=1_best': 391.57, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 436.70399999999995, 'N_BLOCKING=2_best': 436.70399999999995, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 424.016, 'N_BLOCKING=3_best': 424.016, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 419.522, 'xsmm_reference_best': 419.522, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 441.429, 'N_BLOCKING=1_best': 441.429, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 505.067, 'N_BLOCKING=2_best': 505.067, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 483.18499999999995, 'N_BLOCKING=3_best': 483.18499999999995, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 480.80100000000004, 'xsmm_reference_best': 480.80100000000004, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 592.251, 'N_BLOCKING=1_best': 592.251, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 643.258, 'N_BLOCKING=2_best': 643.258, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 628.969, 'N_BLOCKING=3_best': 628.969, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 570.692, 'xsmm_reference_best': 570.692, 'xsmm_reference_cpu_freq': 2.999956, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 234.813, 'N_BLOCKING=1_best': 234.813, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 230.764, 'N_BLOCKING=2_best': 230.764, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 232.995, 'N_BLOCKING=3_best': 232.995, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 236.385, 'xsmm_reference_best': 236.385, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 353.376, 'N_BLOCKING=1_best': 353.376, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 359.782, 'N_BLOCKING=2_best': 359.782, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 351.859, 'N_BLOCKING=3_best': 351.859, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 352.711, 'xsmm_reference_best': 352.711, 'xsmm_reference_cpu_freq': 2.999923, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 367.43499999999995, 'N_BLOCKING=1_best': 367.43499999999995, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 399.89, 'N_BLOCKING=2_best': 399.89, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 371.04200000000003, 'N_BLOCKING=3_best': 371.04200000000003, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 392.777, 'xsmm_reference_best': 392.777, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 392.616, 'N_BLOCKING=1_best': 392.616, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 443.362, 'N_BLOCKING=2_best': 443.362, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 421.592, 'N_BLOCKING=3_best': 421.592, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 425.331, 'xsmm_reference_best': 425.331, 'xsmm_reference_cpu_freq': 2.999876, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 440.438, 'N_BLOCKING=1_best': 440.438, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 512.097, 'N_BLOCKING=2_best': 512.097, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 491.342, 'N_BLOCKING=3_best': 491.342, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 434.511, 'xsmm_reference_best': 434.511, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 583.937, 'N_BLOCKING=1_best': 583.937, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 644.5409999999999, 'N_BLOCKING=2_best': 644.5409999999999, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 636.354, 'N_BLOCKING=3_best': 636.354, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_1024_p_0.05_uniq_64.txt', 'size_n': 249984, 'xsmm_reference_avg': 3892.002, 'xsmm_reference_best': 3892.002, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'dense'}
{'N_BLOCKING=1_avg': 246.429, 'N_BLOCKING=1_best': 246.429, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 254.527, 'N_BLOCKING=2_best': 254.527, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 248.389, 'N_BLOCKING=3_best': 248.389, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 163, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.00994873046875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.01_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 249.226, 'xsmm_reference_best': 249.226, 'xsmm_reference_cpu_freq': 2.999922, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 418.58299999999997, 'N_BLOCKING=1_best': 418.58299999999997, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 404.057, 'N_BLOCKING=2_best': 404.057, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 368.44100000000003, 'N_BLOCKING=3_best': 368.44100000000003, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0999755859375, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.1_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 388.475, 'xsmm_reference_best': 388.475, 'xsmm_reference_cpu_freq': 2.999904, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 555.068, 'N_BLOCKING=1_best': 555.068, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 393.377, 'N_BLOCKING=2_best': 393.377, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 437.179, 'N_BLOCKING=3_best': 437.179, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.199951171875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.2_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 353.288, 'xsmm_reference_best': 353.288, 'xsmm_reference_cpu_freq': 2.999984, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 754.923, 'N_BLOCKING=1_best': 754.923, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 545.971, 'N_BLOCKING=2_best': 545.971, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 594.3109999999999, 'N_BLOCKING=3_best': 594.3109999999999, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 4915, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.29998779296875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.3_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 685.133, 'xsmm_reference_best': 685.133, 'xsmm_reference_cpu_freq': 2.999909, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 987.45, 'N_BLOCKING=1_best': 987.45, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 717.283, 'N_BLOCKING=2_best': 717.283, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 755.976, 'N_BLOCKING=3_best': 755.976, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.39996337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.4_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 1115.5410000000002, 'xsmm_reference_best': 1115.5410000000002, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'dense'}
{'N_BLOCKING=1_avg': 1248.744, 'N_BLOCKING=1_best': 1248.744, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 928.4590000000001, 'N_BLOCKING=2_best': 928.4590000000001, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 957.057, 'N_BLOCKING=3_best': 957.057, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 8192, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.5, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.5_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 1119.4589999999998, 'xsmm_reference_best': 1119.4589999999998, 'xsmm_reference_cpu_freq': 2.999886, 'xsmm_reference_kernel_type': 'dense'}
{'N_BLOCKING=1_avg': 367.965, 'N_BLOCKING=1_best': 367.965, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 398.884, 'N_BLOCKING=2_best': 398.884, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 369.995, 'N_BLOCKING=3_best': 369.995, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 385.114, 'xsmm_reference_best': 385.114, 'xsmm_reference_cpu_freq': 2.999888, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 472.31600000000003, 'N_BLOCKING=1_best': 472.31600000000003, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 330.495, 'N_BLOCKING=2_best': 330.495, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 368.885, 'N_BLOCKING=3_best': 368.885, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 2457, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.14996337890625, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.15_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 309.958, 'xsmm_reference_best': 309.958, 'xsmm_reference_cpu_freq': 2.999905, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 647.206, 'N_BLOCKING=1_best': 647.206, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 464.27, 'N_BLOCKING=2_best': 464.27, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 505.773, 'N_BLOCKING=3_best': 505.773, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 4096, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/synth_mats/vary_density/q_16/r_128_c_128_p_0.25_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 597.948, 'xsmm_reference_best': 597.948, 'xsmm_reference_cpu_freq': 2.999931, 'xsmm_reference_kernel_type': 'sparse'}
