{'N_BLOCKING=1_avg': 247.594, 'N_BLOCKING=1_best': 247.594, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 242.31399999999996, 'N_BLOCKING=2_best': 242.31399999999996, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 244.454, 'N_BLOCKING=3_best': 244.454, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 250.84500000000003, 'xsmm_reference_best': 250.84500000000003, 'xsmm_reference_cpu_freq': 2.99991, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 356.148, 'N_BLOCKING=1_best': 356.148, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 370.002, 'N_BLOCKING=2_best': 370.002, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 357.173, 'N_BLOCKING=3_best': 357.173, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 353.288, 'xsmm_reference_best': 353.288, 'xsmm_reference_cpu_freq': 2.999907, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 370.067, 'N_BLOCKING=1_best': 370.067, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 413.818, 'N_BLOCKING=2_best': 413.818, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 385.84299999999996, 'N_BLOCKING=3_best': 385.84299999999996, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 402.861, 'xsmm_reference_best': 402.861, 'xsmm_reference_cpu_freq': 2.999844, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 392.58500000000004, 'N_BLOCKING=1_best': 392.58500000000004, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 438.067, 'N_BLOCKING=2_best': 438.067, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 425.447, 'N_BLOCKING=3_best': 425.447, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 421.513, 'xsmm_reference_best': 421.513, 'xsmm_reference_cpu_freq': 2.999916, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 440.93600000000004, 'N_BLOCKING=1_best': 440.93600000000004, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 506.057, 'N_BLOCKING=2_best': 506.057, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 484.623, 'N_BLOCKING=3_best': 484.623, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 480.442, 'xsmm_reference_best': 480.442, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 586.249, 'N_BLOCKING=1_best': 586.249, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 645.14, 'N_BLOCKING=2_best': 645.14, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 632.886, 'N_BLOCKING=3_best': 632.886, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 561.649, 'xsmm_reference_best': 561.649, 'xsmm_reference_cpu_freq': 2.999951, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 235.13699999999994, 'N_BLOCKING=1_best': 235.13699999999994, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 233.539, 'N_BLOCKING=2_best': 233.539, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 233.76599999999996, 'N_BLOCKING=3_best': 233.76599999999996, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 231.796, 'xsmm_reference_best': 231.796, 'xsmm_reference_cpu_freq': 2.9999, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 352.549, 'N_BLOCKING=1_best': 352.549, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 360.713, 'N_BLOCKING=2_best': 360.713, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 350.451, 'N_BLOCKING=3_best': 350.451, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 354.56399999999996, 'xsmm_reference_best': 354.56399999999996, 'xsmm_reference_cpu_freq': 2.999916, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 367.953, 'N_BLOCKING=1_best': 367.953, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 398.71500000000003, 'N_BLOCKING=2_best': 398.71500000000003, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 372.998, 'N_BLOCKING=3_best': 372.998, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 392.786, 'xsmm_reference_best': 392.786, 'xsmm_reference_cpu_freq': 2.99985, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 395.003, 'N_BLOCKING=1_best': 395.003, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 447.154, 'N_BLOCKING=2_best': 447.154, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 424.28, 'N_BLOCKING=3_best': 424.28, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 429.05, 'xsmm_reference_best': 429.05, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 440.985, 'N_BLOCKING=1_best': 440.985, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 503.657, 'N_BLOCKING=2_best': 503.657, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 490.764, 'N_BLOCKING=3_best': 490.764, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 439.67100000000005, 'xsmm_reference_best': 439.67100000000005, 'xsmm_reference_cpu_freq': 2.999914, 'xsmm_reference_kernel_type': 'sparse'}
