{'N_BLOCKING=1_avg': 247.111, 'N_BLOCKING=1_best': 247.111, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 242.285, 'N_BLOCKING=2_best': 242.285, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 244.098, 'N_BLOCKING=3_best': 244.098, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 249.067, 'xsmm_reference_best': 249.067, 'xsmm_reference_cpu_freq': 2.999917, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 355.257, 'N_BLOCKING=1_best': 355.257, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 368.581, 'N_BLOCKING=2_best': 368.581, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 353.415, 'N_BLOCKING=3_best': 353.415, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 367.682, 'xsmm_reference_best': 367.682, 'xsmm_reference_cpu_freq': 2.999913, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 370.39599999999996, 'N_BLOCKING=1_best': 370.39599999999996, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 412.64, 'N_BLOCKING=2_best': 412.64, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 385.983, 'N_BLOCKING=3_best': 385.983, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 403.81, 'xsmm_reference_best': 403.81, 'xsmm_reference_cpu_freq': 2.999951, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 391.43899999999996, 'N_BLOCKING=1_best': 391.43899999999996, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 437.9, 'N_BLOCKING=2_best': 437.9, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 424.823, 'N_BLOCKING=3_best': 424.823, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 419.008, 'xsmm_reference_best': 419.008, 'xsmm_reference_cpu_freq': 2.999936, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 440.775, 'N_BLOCKING=1_best': 440.775, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 502.956, 'N_BLOCKING=2_best': 502.956, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 486.625, 'N_BLOCKING=3_best': 486.625, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 476.615, 'xsmm_reference_best': 476.615, 'xsmm_reference_cpu_freq': 2.999877, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 606.356, 'N_BLOCKING=1_best': 606.356, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 646.393, 'N_BLOCKING=2_best': 646.393, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 630.317, 'N_BLOCKING=3_best': 630.317, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 571.954, 'xsmm_reference_best': 571.954, 'xsmm_reference_cpu_freq': 2.999952, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 235.243, 'N_BLOCKING=1_best': 235.243, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 231.167, 'N_BLOCKING=2_best': 231.167, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 232.402, 'N_BLOCKING=3_best': 232.402, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 232.198, 'xsmm_reference_best': 232.198, 'xsmm_reference_cpu_freq': 2.999924, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 351.668, 'N_BLOCKING=1_best': 351.668, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 359.341, 'N_BLOCKING=2_best': 359.341, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 349.236, 'N_BLOCKING=3_best': 349.236, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 351.106, 'xsmm_reference_best': 351.106, 'xsmm_reference_cpu_freq': 2.999874, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 370.105, 'N_BLOCKING=1_best': 370.105, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 398.648, 'N_BLOCKING=2_best': 398.648, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 372.45000000000005, 'N_BLOCKING=3_best': 372.45000000000005, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 392.91600000000005, 'xsmm_reference_best': 392.91600000000005, 'xsmm_reference_cpu_freq': 2.999873, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 394.023, 'N_BLOCKING=1_best': 394.023, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 446.208, 'N_BLOCKING=2_best': 446.208, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 427.111, 'N_BLOCKING=3_best': 427.111, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 426.077, 'xsmm_reference_best': 426.077, 'xsmm_reference_cpu_freq': 2.999956, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 440.847, 'N_BLOCKING=1_best': 440.847, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 502.016, 'N_BLOCKING=2_best': 502.016, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 492.278, 'N_BLOCKING=3_best': 492.278, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 436.78, 'xsmm_reference_best': 436.78, 'xsmm_reference_cpu_freq': 2.99991, 'xsmm_reference_kernel_type': 'sparse'}
