{'N_BLOCKING=1_avg': 247.434, 'N_BLOCKING=1_best': 247.434, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 242.301, 'N_BLOCKING=2_best': 242.301, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 244.87400000000002, 'N_BLOCKING=3_best': 244.87400000000002, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 248.265, 'xsmm_reference_best': 248.265, 'xsmm_reference_cpu_freq': 2.999914, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 355.03, 'N_BLOCKING=1_best': 355.03, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 368.41099999999994, 'N_BLOCKING=2_best': 368.41099999999994, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 354.322, 'N_BLOCKING=3_best': 354.322, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 367.944, 'xsmm_reference_best': 367.944, 'xsmm_reference_cpu_freq': 2.99993, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 368.213, 'N_BLOCKING=1_best': 368.213, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 411.42999999999995, 'N_BLOCKING=2_best': 411.42999999999995, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 383.77, 'N_BLOCKING=3_best': 383.77, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 403.92, 'xsmm_reference_best': 403.92, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 392.32, 'N_BLOCKING=1_best': 392.32, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 437.913, 'N_BLOCKING=2_best': 437.913, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 426.307, 'N_BLOCKING=3_best': 426.307, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 418.434, 'xsmm_reference_best': 418.434, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 441.215, 'N_BLOCKING=1_best': 441.215, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 504.132, 'N_BLOCKING=2_best': 504.132, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 482.36699999999996, 'N_BLOCKING=3_best': 482.36699999999996, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 481.044, 'xsmm_reference_best': 481.044, 'xsmm_reference_cpu_freq': 2.99995, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 602.06, 'N_BLOCKING=1_best': 602.06, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 641.4359999999999, 'N_BLOCKING=2_best': 641.4359999999999, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 632.262, 'N_BLOCKING=3_best': 632.262, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 556.366, 'xsmm_reference_best': 556.366, 'xsmm_reference_cpu_freq': 2.999899, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 234.89, 'N_BLOCKING=1_best': 234.89, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 231.337, 'N_BLOCKING=2_best': 231.337, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 233.901, 'N_BLOCKING=3_best': 233.901, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 231.42700000000002, 'xsmm_reference_best': 231.42700000000002, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 352.779, 'N_BLOCKING=1_best': 352.779, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 360.362, 'N_BLOCKING=2_best': 360.362, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 349.858, 'N_BLOCKING=3_best': 349.858, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 354.143, 'xsmm_reference_best': 354.143, 'xsmm_reference_cpu_freq': 2.999914, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 368.29, 'N_BLOCKING=1_best': 368.29, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 399.77, 'N_BLOCKING=2_best': 399.77, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 372.82899999999995, 'N_BLOCKING=3_best': 372.82899999999995, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 394.428, 'xsmm_reference_best': 394.428, 'xsmm_reference_cpu_freq': 2.999924, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 393.115, 'N_BLOCKING=1_best': 393.115, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 450.708, 'N_BLOCKING=2_best': 450.708, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 426.08299999999997, 'N_BLOCKING=3_best': 426.08299999999997, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 427.43399999999997, 'xsmm_reference_best': 427.43399999999997, 'xsmm_reference_cpu_freq': 2.999911, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 441.145, 'N_BLOCKING=1_best': 441.145, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 509.16, 'N_BLOCKING=2_best': 509.16, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 488.179, 'N_BLOCKING=3_best': 488.179, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 438.425, 'xsmm_reference_best': 438.425, 'xsmm_reference_cpu_freq': 2.999893, 'xsmm_reference_kernel_type': 'sparse'}
