{'N_BLOCKING=1_avg': 247.129, 'N_BLOCKING=1_best': 247.129, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 242.481, 'N_BLOCKING=2_best': 242.481, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 244.406, 'N_BLOCKING=3_best': 244.406, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 248.483, 'xsmm_reference_best': 248.483, 'xsmm_reference_cpu_freq': 2.999881, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 355.266, 'N_BLOCKING=1_best': 355.266, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 368.446, 'N_BLOCKING=2_best': 368.446, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 354.35, 'N_BLOCKING=3_best': 354.35, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 365.981, 'xsmm_reference_best': 365.981, 'xsmm_reference_cpu_freq': 2.999959, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 367.797, 'N_BLOCKING=1_best': 367.797, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 413.12300000000005, 'N_BLOCKING=2_best': 413.12300000000005, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 383.012, 'N_BLOCKING=3_best': 383.012, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 403.248, 'xsmm_reference_best': 403.248, 'xsmm_reference_cpu_freq': 2.999932, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 393.21299999999997, 'N_BLOCKING=1_best': 393.21299999999997, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 437.59400000000005, 'N_BLOCKING=2_best': 437.59400000000005, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 424.184, 'N_BLOCKING=3_best': 424.184, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 424.524, 'xsmm_reference_best': 424.524, 'xsmm_reference_cpu_freq': 2.999857, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 441.31, 'N_BLOCKING=1_best': 441.31, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 506.24, 'N_BLOCKING=2_best': 506.24, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 482.177, 'N_BLOCKING=3_best': 482.177, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 478.973, 'xsmm_reference_best': 478.973, 'xsmm_reference_cpu_freq': 2.99996, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 585.625, 'N_BLOCKING=1_best': 585.625, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 642.6800000000001, 'N_BLOCKING=2_best': 642.6800000000001, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 636.944, 'N_BLOCKING=3_best': 636.944, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 566.256, 'xsmm_reference_best': 566.256, 'xsmm_reference_cpu_freq': 2.999922, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 235.533, 'N_BLOCKING=1_best': 235.533, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 231.02, 'N_BLOCKING=2_best': 231.02, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 232.486, 'N_BLOCKING=3_best': 232.486, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 231.574, 'xsmm_reference_best': 231.574, 'xsmm_reference_cpu_freq': 2.999858, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 352.597, 'N_BLOCKING=1_best': 352.597, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 359.46, 'N_BLOCKING=2_best': 359.46, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 349.423, 'N_BLOCKING=3_best': 349.423, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 353.163, 'xsmm_reference_best': 353.163, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 367.977, 'N_BLOCKING=1_best': 367.977, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 399.134, 'N_BLOCKING=2_best': 399.134, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 374.58500000000004, 'N_BLOCKING=3_best': 374.58500000000004, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 397.673, 'xsmm_reference_best': 397.673, 'xsmm_reference_cpu_freq': 2.99993, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 392.969, 'N_BLOCKING=1_best': 392.969, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 446.604, 'N_BLOCKING=2_best': 446.604, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 424.85299999999995, 'N_BLOCKING=3_best': 424.85299999999995, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 429.21799999999996, 'xsmm_reference_best': 429.21799999999996, 'xsmm_reference_cpu_freq': 2.999917, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 441.03099999999995, 'N_BLOCKING=1_best': 441.03099999999995, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 503.303, 'N_BLOCKING=2_best': 503.303, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 490.871, 'N_BLOCKING=3_best': 490.871, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 437.901, 'xsmm_reference_best': 437.901, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'sparse'}
