{'N_BLOCKING=1_avg': 247.615, 'N_BLOCKING=1_best': 247.615, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 242.178, 'N_BLOCKING=2_best': 242.178, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 244.176, 'N_BLOCKING=3_best': 244.176, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 249.408, 'xsmm_reference_best': 249.408, 'xsmm_reference_cpu_freq': 2.999924, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 355.61199999999997, 'N_BLOCKING=1_best': 355.61199999999997, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 368.342, 'N_BLOCKING=2_best': 368.342, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 354.19000000000005, 'N_BLOCKING=3_best': 354.19000000000005, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 366.314, 'xsmm_reference_best': 366.314, 'xsmm_reference_cpu_freq': 2.999951, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 368.438, 'N_BLOCKING=1_best': 368.438, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 414.111, 'N_BLOCKING=2_best': 414.111, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 384.119, 'N_BLOCKING=3_best': 384.119, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 403.298, 'xsmm_reference_best': 403.298, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 392.813, 'N_BLOCKING=1_best': 392.813, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 436.695, 'N_BLOCKING=2_best': 436.695, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 423.62800000000004, 'N_BLOCKING=3_best': 423.62800000000004, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 420.105, 'xsmm_reference_best': 420.105, 'xsmm_reference_cpu_freq': 2.999904, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 441.937, 'N_BLOCKING=1_best': 441.937, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 512.3389999999999, 'N_BLOCKING=2_best': 512.3389999999999, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 483.138, 'N_BLOCKING=3_best': 483.138, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 478.066, 'xsmm_reference_best': 478.066, 'xsmm_reference_cpu_freq': 2.999895, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 595.3140000000001, 'N_BLOCKING=1_best': 595.3140000000001, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 644.032, 'N_BLOCKING=2_best': 644.032, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 638.038, 'N_BLOCKING=3_best': 638.038, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 560.821, 'xsmm_reference_best': 560.821, 'xsmm_reference_cpu_freq': 2.999876, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 235.40599999999995, 'N_BLOCKING=1_best': 235.40599999999995, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 231.169, 'N_BLOCKING=2_best': 231.169, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 233.59400000000005, 'N_BLOCKING=3_best': 233.59400000000005, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 231.613, 'xsmm_reference_best': 231.613, 'xsmm_reference_cpu_freq': 2.999906, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 352.681, 'N_BLOCKING=1_best': 352.681, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 360.452, 'N_BLOCKING=2_best': 360.452, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 350.107, 'N_BLOCKING=3_best': 350.107, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 353.716, 'xsmm_reference_best': 353.716, 'xsmm_reference_cpu_freq': 2.999957, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 368.429, 'N_BLOCKING=1_best': 368.429, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 399.93899999999996, 'N_BLOCKING=2_best': 399.93899999999996, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 373.844, 'N_BLOCKING=3_best': 373.844, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 394.044, 'xsmm_reference_best': 394.044, 'xsmm_reference_cpu_freq': 2.99987, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 394.689, 'N_BLOCKING=1_best': 394.689, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 445.567, 'N_BLOCKING=2_best': 445.567, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 423.441, 'N_BLOCKING=3_best': 423.441, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 427.91, 'xsmm_reference_best': 427.91, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 441.195, 'N_BLOCKING=1_best': 441.195, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 503.06, 'N_BLOCKING=2_best': 503.06, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 488.417, 'N_BLOCKING=3_best': 488.417, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 436.409, 'xsmm_reference_best': 436.409, 'xsmm_reference_cpu_freq': 2.999929, 'xsmm_reference_kernel_type': 'sparse'}
