{'N_BLOCKING=1_avg': 246.838, 'N_BLOCKING=1_best': 246.838, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 241.814, 'N_BLOCKING=2_best': 241.814, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 244.486, 'N_BLOCKING=3_best': 244.486, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 248.357, 'xsmm_reference_best': 248.357, 'xsmm_reference_cpu_freq': 2.999894, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 356.342, 'N_BLOCKING=1_best': 356.342, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 367.983, 'N_BLOCKING=2_best': 367.983, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 353.929, 'N_BLOCKING=3_best': 353.929, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 366.508, 'xsmm_reference_best': 366.508, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 367.761, 'N_BLOCKING=1_best': 367.761, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 411.189, 'N_BLOCKING=2_best': 411.189, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 383.19399999999996, 'N_BLOCKING=3_best': 383.19399999999996, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 402.94500000000005, 'xsmm_reference_best': 402.94500000000005, 'xsmm_reference_cpu_freq': 2.999916, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 392.632, 'N_BLOCKING=1_best': 392.632, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 438.975, 'N_BLOCKING=2_best': 438.975, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 423.36199999999997, 'N_BLOCKING=3_best': 423.36199999999997, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 420.312, 'xsmm_reference_best': 420.312, 'xsmm_reference_cpu_freq': 2.999966, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 440.67499999999995, 'N_BLOCKING=1_best': 440.67499999999995, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 509.613, 'N_BLOCKING=2_best': 509.613, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 484.212, 'N_BLOCKING=3_best': 484.212, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 477.941, 'xsmm_reference_best': 477.941, 'xsmm_reference_cpu_freq': 2.999924, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 596.102, 'N_BLOCKING=1_best': 596.102, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 639.281, 'N_BLOCKING=2_best': 639.281, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 635.12, 'N_BLOCKING=3_best': 635.12, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 566.1179999999999, 'xsmm_reference_best': 566.1179999999999, 'xsmm_reference_cpu_freq': 2.999899, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 234.90700000000004, 'N_BLOCKING=1_best': 234.90700000000004, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 231.372, 'N_BLOCKING=2_best': 231.372, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 233.015, 'N_BLOCKING=3_best': 233.015, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 232.073, 'xsmm_reference_best': 232.073, 'xsmm_reference_cpu_freq': 2.999919, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 352.065, 'N_BLOCKING=1_best': 352.065, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 360.22299999999996, 'N_BLOCKING=2_best': 360.22299999999996, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 349.62, 'N_BLOCKING=3_best': 349.62, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 352.996, 'xsmm_reference_best': 352.996, 'xsmm_reference_cpu_freq': 2.999932, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 367.593, 'N_BLOCKING=1_best': 367.593, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 398.01099999999997, 'N_BLOCKING=2_best': 398.01099999999997, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 372.708, 'N_BLOCKING=3_best': 372.708, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 392.456, 'xsmm_reference_best': 392.456, 'xsmm_reference_cpu_freq': 2.999936, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 394.008, 'N_BLOCKING=1_best': 394.008, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 443.905, 'N_BLOCKING=2_best': 443.905, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 422.29, 'N_BLOCKING=3_best': 422.29, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 428.369, 'xsmm_reference_best': 428.369, 'xsmm_reference_cpu_freq': 2.999866, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 441.089, 'N_BLOCKING=1_best': 441.089, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 506.417, 'N_BLOCKING=2_best': 506.417, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 490.866, 'N_BLOCKING=3_best': 490.866, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 434.236, 'xsmm_reference_best': 434.236, 'xsmm_reference_cpu_freq': 2.999947, 'xsmm_reference_kernel_type': 'sparse'}
