{'N_BLOCKING=1_avg': 247.104, 'N_BLOCKING=1_best': 247.104, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 242.642, 'N_BLOCKING=2_best': 242.642, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 244.429, 'N_BLOCKING=3_best': 244.429, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_32_p_0.05_uniq_16.txt', 'size_n': 1800000, 'xsmm_reference_avg': 248.582, 'xsmm_reference_best': 248.582, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 355.452, 'N_BLOCKING=1_best': 355.452, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 368.419, 'N_BLOCKING=2_best': 368.419, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 353.04, 'N_BLOCKING=3_best': 353.04, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_64_p_0.05_uniq_16.txt', 'size_n': 1500000, 'xsmm_reference_avg': 366.977, 'xsmm_reference_best': 366.977, 'xsmm_reference_cpu_freq': 2.999879, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 368.354, 'N_BLOCKING=1_best': 368.354, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 413.01199999999994, 'N_BLOCKING=2_best': 413.01199999999994, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 385.771, 'N_BLOCKING=3_best': 385.771, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_128_p_0.05_uniq_16.txt', 'size_n': 1124976, 'xsmm_reference_avg': 404.848, 'xsmm_reference_best': 404.848, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 392.185, 'N_BLOCKING=1_best': 392.185, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 442.10799999999995, 'N_BLOCKING=2_best': 442.10799999999995, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 426.256, 'N_BLOCKING=3_best': 426.256, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_256_p_0.05_uniq_16.txt', 'size_n': 750000, 'xsmm_reference_avg': 420.485, 'xsmm_reference_best': 420.485, 'xsmm_reference_cpu_freq': 2.999907, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 441.551, 'N_BLOCKING=1_best': 441.551, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 506.696, 'N_BLOCKING=2_best': 506.696, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 485.384, 'N_BLOCKING=3_best': 485.384, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_512_p_0.05_uniq_16.txt', 'size_n': 450000, 'xsmm_reference_avg': 481.95899999999995, 'xsmm_reference_best': 481.95899999999995, 'xsmm_reference_cpu_freq': 2.999952, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 594.163, 'N_BLOCKING=1_best': 594.163, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 645.748, 'N_BLOCKING=2_best': 645.748, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 632.123, 'N_BLOCKING=3_best': 632.123, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 1024, 'a_nonzero': 6553, 'a_rows': 128, 'a_size': 131072, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04999542236328125, 'mat_file': 'data/synth_mats/vary_col/q_16/r_128_c_1024_p_0.05_uniq_16.txt', 'size_n': 249984, 'xsmm_reference_avg': 580.501, 'xsmm_reference_best': 580.501, 'xsmm_reference_cpu_freq': 2.999915, 'xsmm_reference_kernel_type': 'sparse'}
{'N_BLOCKING=1_avg': 235.347, 'N_BLOCKING=1_best': 235.347, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 231.21299999999997, 'N_BLOCKING=2_best': 231.21299999999997, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 232.986, 'N_BLOCKING=3_best': 232.986, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 32, 'a_nonzero': 204, 'a_rows': 128, 'a_size': 4096, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0498046875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_32_p_0.05_uniq_64.txt', 'size_n': 1800000, 'xsmm_reference_avg': 232.30600000000004, 'xsmm_reference_best': 232.30600000000004, 'xsmm_reference_cpu_freq': 2.999927, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 351.967, 'N_BLOCKING=1_best': 351.967, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 359.32, 'N_BLOCKING=2_best': 359.32, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 348.198, 'N_BLOCKING=3_best': 348.198, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 64, 'a_nonzero': 409, 'a_rows': 128, 'a_size': 8192, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.0499267578125, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_64_p_0.05_uniq_64.txt', 'size_n': 1500000, 'xsmm_reference_avg': 352.892, 'xsmm_reference_best': 352.892, 'xsmm_reference_cpu_freq': 2.999899, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 367.66, 'N_BLOCKING=1_best': 367.66, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 398.74, 'N_BLOCKING=2_best': 398.74, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 371.69100000000003, 'N_BLOCKING=3_best': 371.69100000000003, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 128, 'a_nonzero': 819, 'a_rows': 128, 'a_size': 16384, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_128_p_0.05_uniq_64.txt', 'size_n': 1124976, 'xsmm_reference_avg': 393.318, 'xsmm_reference_best': 393.318, 'xsmm_reference_cpu_freq': 2.999921, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 392.705, 'N_BLOCKING=1_best': 392.705, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 442.543, 'N_BLOCKING=2_best': 442.543, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 422.264, 'N_BLOCKING=3_best': 422.264, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 256, 'a_nonzero': 1638, 'a_rows': 128, 'a_size': 32768, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_256_p_0.05_uniq_64.txt', 'size_n': 750000, 'xsmm_reference_avg': 429.587, 'xsmm_reference_best': 429.587, 'xsmm_reference_cpu_freq': 2.999951, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'N_BLOCKING=1_avg': 440.60299999999995, 'N_BLOCKING=1_best': 440.60299999999995, 'N_BLOCKING=1_kernel_type': 'dense', 'N_BLOCKING=2_avg': 499.6, 'N_BLOCKING=2_best': 499.6, 'N_BLOCKING=2_kernel_type': 'dense', 'N_BLOCKING=3_avg': 488.468, 'N_BLOCKING=3_best': 488.468, 'N_BLOCKING=3_kernel_type': 'dense', 'a_cols': 512, 'a_nonzero': 3276, 'a_rows': 128, 'a_size': 65536, 'a_unique': 64, 'alpha': 1.0, 'beta': 0.0, 'density': 0.04998779296875, 'mat_file': 'data/synth_mats/vary_col/q_64/r_128_c_512_p_0.05_uniq_64.txt', 'size_n': 450000, 'xsmm_reference_avg': 435.021, 'xsmm_reference_best': 435.021, 'xsmm_reference_cpu_freq': 2.999919, 'xsmm_reference_kernel_type': 'sparse'}
