{'K_BLOCKING=0_avg': 2.9605, 'K_BLOCKING=0_best': 2.9605, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 3.1407, 'K_BLOCKING=112_best': 3.1407, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 3.089, 'K_BLOCKING=128_best': 3.089, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 2.9615, 'K_BLOCKING=16_best': 2.9615, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 2.9585999999999997, 'K_BLOCKING=32_best': 2.9585999999999997, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 3.0131, 'K_BLOCKING=48_best': 3.0131, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 3.0595, 'K_BLOCKING=64_best': 3.0595, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 3.0989, 'K_BLOCKING=80_best': 3.0989, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 3.0812999999999997, 'K_BLOCKING=96_best': 3.0812999999999997, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 105600, 'xsmm_reference_avg': 3.0793, 'xsmm_reference_best': 3.0793, 'xsmm_reference_cpu_freq': 2.999987, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 1.7387000000000001, 'K_BLOCKING=0_best': 1.7387000000000001, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 1.8056999999999999, 'K_BLOCKING=112_best': 1.8056999999999999, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 1.6098, 'K_BLOCKING=128_best': 1.6098, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 2.7934, 'K_BLOCKING=16_best': 2.7934, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 1.8436, 'K_BLOCKING=32_best': 1.8436, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 1.7726, 'K_BLOCKING=48_best': 1.7726, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 1.9134, 'K_BLOCKING=64_best': 1.9134, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 1.8501999999999998, 'K_BLOCKING=80_best': 1.8501999999999998, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 1.8047, 'K_BLOCKING=96_best': 1.8047, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 105600, 'xsmm_reference_avg': 1.7296, 'xsmm_reference_best': 1.7296, 'xsmm_reference_cpu_freq': 3.000016, 'xsmm_reference_kernel_type': 'sparse'}
{'K_BLOCKING=0_avg': 3.8895000000000004, 'K_BLOCKING=0_best': 3.8895000000000004, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 3.3297, 'K_BLOCKING=112_best': 3.3297, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 3.304, 'K_BLOCKING=128_best': 3.304, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 8.9941, 'K_BLOCKING=16_best': 8.9941, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 3.436, 'K_BLOCKING=32_best': 3.436, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 3.3375, 'K_BLOCKING=48_best': 3.3375, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 3.3158000000000003, 'K_BLOCKING=64_best': 3.3158000000000003, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 3.3399999999999976, 'K_BLOCKING=80_best': 3.3399999999999976, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 3.3424, 'K_BLOCKING=96_best': 3.3424, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 105600, 'xsmm_reference_avg': 3.3455, 'xsmm_reference_best': 3.3455, 'xsmm_reference_cpu_freq': 2.999978, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 1.5391, 'K_BLOCKING=0_best': 1.5391, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 1.6381000000000001, 'K_BLOCKING=112_best': 1.6381000000000001, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 1.5988, 'K_BLOCKING=128_best': 1.5988, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 2.2354, 'K_BLOCKING=16_best': 2.2354, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 1.53, 'K_BLOCKING=32_best': 1.53, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 1.5385, 'K_BLOCKING=48_best': 1.5385, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 1.5922, 'K_BLOCKING=64_best': 1.5922, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 1.5659, 'K_BLOCKING=80_best': 1.5659, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 1.582, 'K_BLOCKING=96_best': 1.582, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 105600, 'xsmm_reference_avg': 1.5723, 'xsmm_reference_best': 1.5723, 'xsmm_reference_cpu_freq': 2.999979, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 2.946199999999999, 'K_BLOCKING=0_best': 2.946199999999999, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 2.9448, 'K_BLOCKING=112_best': 2.9448, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 2.9579, 'K_BLOCKING=128_best': 2.9579, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 2.9493, 'K_BLOCKING=16_best': 2.9493, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 2.9673, 'K_BLOCKING=32_best': 2.9673, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 2.9562999999999997, 'K_BLOCKING=48_best': 2.9562999999999997, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 2.9408000000000003, 'K_BLOCKING=64_best': 2.9408000000000003, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 2.9463, 'K_BLOCKING=80_best': 2.9463, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 2.9602, 'K_BLOCKING=96_best': 2.9602, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 105600, 'xsmm_reference_avg': 2.9837, 'xsmm_reference_best': 2.9837, 'xsmm_reference_cpu_freq': 2.999934, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 6.925, 'K_BLOCKING=0_best': 6.925, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 6.899800000000001, 'K_BLOCKING=112_best': 6.899800000000001, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 6.9268, 'K_BLOCKING=128_best': 6.9268, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 10.769100000000003, 'K_BLOCKING=16_best': 10.769100000000003, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 6.88, 'K_BLOCKING=32_best': 6.88, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 6.904300000000001, 'K_BLOCKING=48_best': 6.904300000000001, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 6.9483999999999995, 'K_BLOCKING=64_best': 6.9483999999999995, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 6.8703, 'K_BLOCKING=80_best': 6.8703, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 6.908799999999999, 'K_BLOCKING=96_best': 6.908799999999999, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 105600, 'xsmm_reference_avg': 6.9529, 'xsmm_reference_best': 6.9529, 'xsmm_reference_cpu_freq': 2.99998, 'xsmm_reference_kernel_type': 'sparse'}
{'K_BLOCKING=0_avg': 11.8598, 'K_BLOCKING=0_best': 11.8598, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 11.8167, 'K_BLOCKING=112_best': 11.8167, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 11.8854, 'K_BLOCKING=128_best': 11.8854, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 15.9284, 'K_BLOCKING=16_best': 15.9284, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 14.634800000000002, 'K_BLOCKING=32_best': 14.634800000000002, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 13.662799999999999, 'K_BLOCKING=48_best': 13.662799999999999, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 11.888, 'K_BLOCKING=64_best': 11.888, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 11.8153, 'K_BLOCKING=80_best': 11.8153, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 11.769, 'K_BLOCKING=96_best': 11.769, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 105600, 'xsmm_reference_avg': 11.2335, 'xsmm_reference_best': 11.2335, 'xsmm_reference_cpu_freq': 2.999983, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 17.5359, 'K_BLOCKING=0_best': 17.5359, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 17.6545, 'K_BLOCKING=112_best': 17.6545, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 17.6349, 'K_BLOCKING=128_best': 17.6349, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 26.9192, 'K_BLOCKING=16_best': 26.9192, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 28.311800000000005, 'K_BLOCKING=32_best': 28.311800000000005, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 24.4741, 'K_BLOCKING=48_best': 24.4741, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 17.646, 'K_BLOCKING=64_best': 17.646, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 17.4695, 'K_BLOCKING=80_best': 17.4695, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 17.5279, 'K_BLOCKING=96_best': 17.5279, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 105600, 'xsmm_reference_avg': 17.048299999999994, 'xsmm_reference_best': 17.048299999999994, 'xsmm_reference_cpu_freq': 2.999979, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 15.6101, 'K_BLOCKING=0_best': 15.6101, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 15.4776, 'K_BLOCKING=112_best': 15.4776, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 15.650800000000004, 'K_BLOCKING=128_best': 15.650800000000004, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 17.8906, 'K_BLOCKING=16_best': 17.8906, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 19.832, 'K_BLOCKING=32_best': 19.832, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 19.2673, 'K_BLOCKING=48_best': 19.2673, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 18.9192, 'K_BLOCKING=64_best': 18.9192, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 15.8546, 'K_BLOCKING=80_best': 15.8546, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 15.626, 'K_BLOCKING=96_best': 15.626, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 105600, 'xsmm_reference_avg': 15.523599999999998, 'xsmm_reference_best': 15.523599999999998, 'xsmm_reference_cpu_freq': 3.000004, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 10.261199999999999, 'K_BLOCKING=0_best': 10.261199999999999, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 10.5012, 'K_BLOCKING=112_best': 10.5012, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 10.288599999999997, 'K_BLOCKING=128_best': 10.288599999999997, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 24.2609, 'K_BLOCKING=16_best': 24.2609, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 10.4832, 'K_BLOCKING=32_best': 10.4832, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 10.2547, 'K_BLOCKING=48_best': 10.2547, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 10.4772, 'K_BLOCKING=64_best': 10.4772, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 10.359, 'K_BLOCKING=80_best': 10.359, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 10.243, 'K_BLOCKING=96_best': 10.243, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 105600, 'xsmm_reference_avg': 10.6149, 'xsmm_reference_best': 10.6149, 'xsmm_reference_cpu_freq': 2.99998, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 7.205800000000001, 'K_BLOCKING=0_best': 7.205800000000001, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 7.162999999999999, 'K_BLOCKING=112_best': 7.162999999999999, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 7.1212, 'K_BLOCKING=128_best': 7.1212, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 16.320500000000003, 'K_BLOCKING=16_best': 16.320500000000003, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 7.0775999999999994, 'K_BLOCKING=32_best': 7.0775999999999994, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 7.097700000000001, 'K_BLOCKING=48_best': 7.097700000000001, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 7.07, 'K_BLOCKING=64_best': 7.07, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 6.998600000000001, 'K_BLOCKING=80_best': 6.998600000000001, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 7.0824, 'K_BLOCKING=96_best': 7.0824, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 105600, 'xsmm_reference_avg': 7.4998000000000005, 'xsmm_reference_best': 7.4998000000000005, 'xsmm_reference_cpu_freq': 2.999997, 'xsmm_reference_kernel_type': 'wide-sparse'}
