{'K_BLOCKING=0_avg': 1.6367999999999998, 'K_BLOCKING=0_best': 1.6367999999999998, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 1.6979, 'K_BLOCKING=112_best': 1.6979, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 1.6344, 'K_BLOCKING=128_best': 1.6344, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 1.6515999999999997, 'K_BLOCKING=16_best': 1.6515999999999997, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 1.6451999999999998, 'K_BLOCKING=32_best': 1.6451999999999998, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 1.6649999999999998, 'K_BLOCKING=48_best': 1.6649999999999998, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 1.6443999999999999, 'K_BLOCKING=64_best': 1.6443999999999999, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 1.6472000000000002, 'K_BLOCKING=80_best': 1.6472000000000002, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 1.6934, 'K_BLOCKING=96_best': 1.6934, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 57600, 'xsmm_reference_avg': 1.7393, 'xsmm_reference_best': 1.7393, 'xsmm_reference_cpu_freq': 2.999828, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 0.9630000000000001, 'K_BLOCKING=0_best': 0.9630000000000001, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 0.9308, 'K_BLOCKING=112_best': 0.9308, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.9057999999999999, 'K_BLOCKING=128_best': 0.9057999999999999, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 1.5339, 'K_BLOCKING=16_best': 1.5339, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.849, 'K_BLOCKING=32_best': 0.849, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 0.9922000000000001, 'K_BLOCKING=48_best': 0.9922000000000001, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.8836, 'K_BLOCKING=64_best': 0.8836, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 0.8991, 'K_BLOCKING=80_best': 0.8991, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.8923, 'K_BLOCKING=96_best': 0.8923, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 57600, 'xsmm_reference_avg': 0.8356999999999999, 'xsmm_reference_best': 0.8356999999999999, 'xsmm_reference_cpu_freq': 2.999924, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 2.0215, 'K_BLOCKING=0_best': 2.0215, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 2.1439, 'K_BLOCKING=112_best': 2.1439, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 1.7751000000000001, 'K_BLOCKING=128_best': 1.7751000000000001, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 5.2421, 'K_BLOCKING=16_best': 5.2421, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 1.778, 'K_BLOCKING=32_best': 1.778, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 1.8010000000000002, 'K_BLOCKING=48_best': 1.8010000000000002, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 1.8237999999999999, 'K_BLOCKING=64_best': 1.8237999999999999, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 1.8328, 'K_BLOCKING=80_best': 1.8328, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 1.8262, 'K_BLOCKING=96_best': 1.8262, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 57600, 'xsmm_reference_avg': 1.9392, 'xsmm_reference_best': 1.9392, 'xsmm_reference_cpu_freq': 2.99979, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 0.8409000000000001, 'K_BLOCKING=0_best': 0.8409000000000001, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 0.8362, 'K_BLOCKING=112_best': 0.8362, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.7811, 'K_BLOCKING=128_best': 0.7811, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 1.1897, 'K_BLOCKING=16_best': 1.1897, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.805, 'K_BLOCKING=32_best': 0.805, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 0.8028000000000001, 'K_BLOCKING=48_best': 0.8028000000000001, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.7931, 'K_BLOCKING=64_best': 0.7931, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 0.8108000000000001, 'K_BLOCKING=80_best': 0.8108000000000001, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.7969999999999999, 'K_BLOCKING=96_best': 0.7969999999999999, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 57600, 'xsmm_reference_avg': 0.8301999999999999, 'xsmm_reference_best': 0.8301999999999999, 'xsmm_reference_cpu_freq': 2.999903, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 1.6398, 'K_BLOCKING=0_best': 1.6398, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 1.6690999999999998, 'K_BLOCKING=112_best': 1.6690999999999998, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 1.6535, 'K_BLOCKING=128_best': 1.6535, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 1.6556000000000002, 'K_BLOCKING=16_best': 1.6556000000000002, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 1.6245, 'K_BLOCKING=32_best': 1.6245, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 1.6245999999999998, 'K_BLOCKING=48_best': 1.6245999999999998, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 1.6293, 'K_BLOCKING=64_best': 1.6293, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 1.6219999999999999, 'K_BLOCKING=80_best': 1.6219999999999999, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 1.6473, 'K_BLOCKING=96_best': 1.6473, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 57600, 'xsmm_reference_avg': 1.6274000000000002, 'xsmm_reference_best': 1.6274000000000002, 'xsmm_reference_cpu_freq': 2.999904, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 3.7729999999999997, 'K_BLOCKING=0_best': 3.7729999999999997, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 3.7476, 'K_BLOCKING=112_best': 3.7476, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 3.7454, 'K_BLOCKING=128_best': 3.7454, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 6.337899999999999, 'K_BLOCKING=16_best': 6.337899999999999, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 3.7927, 'K_BLOCKING=32_best': 3.7927, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 3.7840000000000003, 'K_BLOCKING=48_best': 3.7840000000000003, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 3.7556, 'K_BLOCKING=64_best': 3.7556, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 3.7415999999999996, 'K_BLOCKING=80_best': 3.7415999999999996, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 3.7375999999999996, 'K_BLOCKING=96_best': 3.7375999999999996, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 57600, 'xsmm_reference_avg': 3.7475, 'xsmm_reference_best': 3.7475, 'xsmm_reference_cpu_freq': 2.999775, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 5.7702, 'K_BLOCKING=0_best': 5.7702, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 6.138, 'K_BLOCKING=112_best': 6.138, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 6.3411, 'K_BLOCKING=128_best': 6.3411, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 8.444700000000001, 'K_BLOCKING=16_best': 8.444700000000001, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 7.5476, 'K_BLOCKING=32_best': 7.5476, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 7.359399999999999, 'K_BLOCKING=48_best': 7.359399999999999, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 5.6682999999999995, 'K_BLOCKING=64_best': 5.6682999999999995, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 5.7490000000000006, 'K_BLOCKING=80_best': 5.7490000000000006, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 5.9833, 'K_BLOCKING=96_best': 5.9833, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 57600, 'xsmm_reference_avg': 5.3527000000000005, 'xsmm_reference_best': 5.3527000000000005, 'xsmm_reference_cpu_freq': 2.999895, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 9.1959, 'K_BLOCKING=0_best': 9.1959, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 9.386199999999999, 'K_BLOCKING=112_best': 9.386199999999999, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 9.2363, 'K_BLOCKING=128_best': 9.2363, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 15.082899999999995, 'K_BLOCKING=16_best': 15.082899999999995, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 15.619499999999999, 'K_BLOCKING=32_best': 15.619499999999999, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 12.6533, 'K_BLOCKING=48_best': 12.6533, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 11.0114, 'K_BLOCKING=64_best': 11.0114, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 9.1515, 'K_BLOCKING=80_best': 9.1515, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 9.3666, 'K_BLOCKING=96_best': 9.3666, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 57600, 'xsmm_reference_avg': 9.1402, 'xsmm_reference_best': 9.1402, 'xsmm_reference_cpu_freq': 2.99983, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 8.4313, 'K_BLOCKING=0_best': 8.4313, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 8.045300000000001, 'K_BLOCKING=112_best': 8.045300000000001, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 8.5158, 'K_BLOCKING=128_best': 8.5158, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 10.1364, 'K_BLOCKING=16_best': 10.1364, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 11.116200000000001, 'K_BLOCKING=32_best': 11.116200000000001, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 10.4312, 'K_BLOCKING=48_best': 10.4312, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 10.294899999999995, 'K_BLOCKING=64_best': 10.294899999999995, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 8.5338, 'K_BLOCKING=80_best': 8.5338, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 7.9036, 'K_BLOCKING=96_best': 7.9036, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 57600, 'xsmm_reference_avg': 8.4465, 'xsmm_reference_best': 8.4465, 'xsmm_reference_cpu_freq': 2.999878, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 5.731199999999999, 'K_BLOCKING=0_best': 5.731199999999999, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 5.7133, 'K_BLOCKING=112_best': 5.7133, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 5.747, 'K_BLOCKING=128_best': 5.747, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 13.3596, 'K_BLOCKING=16_best': 13.3596, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 5.8564, 'K_BLOCKING=32_best': 5.8564, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 5.7622, 'K_BLOCKING=48_best': 5.7622, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 5.721, 'K_BLOCKING=64_best': 5.721, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 5.7477, 'K_BLOCKING=80_best': 5.7477, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 5.7072, 'K_BLOCKING=96_best': 5.7072, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 57600, 'xsmm_reference_avg': 6.1156999999999995, 'xsmm_reference_best': 6.1156999999999995, 'xsmm_reference_cpu_freq': 2.999873, 'xsmm_reference_kernel_type': 'sparse'}
{'K_BLOCKING=0_avg': 3.9464000000000055, 'K_BLOCKING=0_best': 3.9464000000000055, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=112_avg': 4.075200000000001, 'K_BLOCKING=112_best': 4.075200000000001, 'K_BLOCKING=112_kernel_type': 'dense', 'K_BLOCKING=128_avg': 3.967, 'K_BLOCKING=128_best': 3.967, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=16_avg': 9.0184, 'K_BLOCKING=16_best': 9.0184, 'K_BLOCKING=16_kernel_type': 'dense', 'K_BLOCKING=32_avg': 3.9762999999999997, 'K_BLOCKING=32_best': 3.9762999999999997, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=48_avg': 3.9694000000000003, 'K_BLOCKING=48_best': 3.9694000000000003, 'K_BLOCKING=48_kernel_type': 'dense', 'K_BLOCKING=64_avg': 3.9579, 'K_BLOCKING=64_best': 3.9579, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=80_avg': 3.9921999999999995, 'K_BLOCKING=80_best': 3.9921999999999995, 'K_BLOCKING=80_kernel_type': 'dense', 'K_BLOCKING=96_avg': 4.0417000000000005, 'K_BLOCKING=96_best': 4.0417000000000005, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 57600, 'xsmm_reference_avg': 4.46, 'xsmm_reference_best': 4.46, 'xsmm_reference_cpu_freq': 2.999901, 'xsmm_reference_kernel_type': 'sparse'}
