{'K_BLOCKING=0_avg': 0.2835, 'K_BLOCKING=0_best': 0.2835, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.27999999999999997, 'K_BLOCKING=128_best': 0.27999999999999997, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=192_avg': 0.2767, 'K_BLOCKING=192_best': 0.2767, 'K_BLOCKING=192_kernel_type': 'dense', 'K_BLOCKING=256_avg': 0.3489, 'K_BLOCKING=256_best': 0.3489, 'K_BLOCKING=256_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.28900000000000003, 'K_BLOCKING=32_best': 0.28900000000000003, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=384_avg': 0.27480000000000004, 'K_BLOCKING=384_best': 0.27480000000000004, 'K_BLOCKING=384_kernel_type': 'dense', 'K_BLOCKING=512_avg': 0.27349999999999997, 'K_BLOCKING=512_best': 0.27349999999999997, 'K_BLOCKING=512_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.2747, 'K_BLOCKING=64_best': 0.2747, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.28250000000000003, 'K_BLOCKING=96_best': 0.28250000000000003, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m0.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.2718, 'xsmm_reference_best': 0.2718, 'xsmm_reference_cpu_freq': 2.99992, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 0.1563, 'K_BLOCKING=0_best': 0.1563, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.1623, 'K_BLOCKING=128_best': 0.1623, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=192_avg': 0.14850000000000002, 'K_BLOCKING=192_best': 0.14850000000000002, 'K_BLOCKING=192_kernel_type': 'dense', 'K_BLOCKING=256_avg': 0.1641, 'K_BLOCKING=256_best': 0.1641, 'K_BLOCKING=256_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.14679999999999999, 'K_BLOCKING=32_best': 0.14679999999999999, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=384_avg': 0.14850000000000002, 'K_BLOCKING=384_best': 0.14850000000000002, 'K_BLOCKING=384_kernel_type': 'dense', 'K_BLOCKING=512_avg': 0.1487, 'K_BLOCKING=512_best': 0.1487, 'K_BLOCKING=512_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.1628, 'K_BLOCKING=64_best': 0.1628, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.15660000000000002, 'K_BLOCKING=96_best': 0.15660000000000002, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m3.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.1323, 'xsmm_reference_best': 0.1323, 'xsmm_reference_cpu_freq': 2.999954, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 0.3146, 'K_BLOCKING=0_best': 0.3146, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.3638, 'K_BLOCKING=128_best': 0.3638, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=192_avg': 0.3227, 'K_BLOCKING=192_best': 0.3227, 'K_BLOCKING=192_kernel_type': 'dense', 'K_BLOCKING=256_avg': 0.3251, 'K_BLOCKING=256_best': 0.3251, 'K_BLOCKING=256_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.3365, 'K_BLOCKING=32_best': 0.3365, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=384_avg': 0.3637, 'K_BLOCKING=384_best': 0.3637, 'K_BLOCKING=384_kernel_type': 'dense', 'K_BLOCKING=512_avg': 0.3252, 'K_BLOCKING=512_best': 0.3252, 'K_BLOCKING=512_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.3227, 'K_BLOCKING=64_best': 0.3227, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.3433, 'K_BLOCKING=96_best': 0.3433, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m6.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.2934, 'xsmm_reference_best': 0.2934, 'xsmm_reference_cpu_freq': 2.999897, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 0.1563, 'K_BLOCKING=0_best': 0.1563, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.1784, 'K_BLOCKING=128_best': 0.1784, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=192_avg': 0.1654, 'K_BLOCKING=192_best': 0.1654, 'K_BLOCKING=192_kernel_type': 'dense', 'K_BLOCKING=256_avg': 0.16319999999999998, 'K_BLOCKING=256_best': 0.16319999999999998, 'K_BLOCKING=256_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.1508, 'K_BLOCKING=32_best': 0.1508, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=384_avg': 0.15389999999999998, 'K_BLOCKING=384_best': 0.15389999999999998, 'K_BLOCKING=384_kernel_type': 'dense', 'K_BLOCKING=512_avg': 0.15789999999999998, 'K_BLOCKING=512_best': 0.15789999999999998, 'K_BLOCKING=512_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.1542, 'K_BLOCKING=64_best': 0.1542, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.1517, 'K_BLOCKING=96_best': 0.1517, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m132.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.1302, 'xsmm_reference_best': 0.1302, 'xsmm_reference_cpu_freq': 2.99991, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 0.282, 'K_BLOCKING=0_best': 0.282, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.2761, 'K_BLOCKING=128_best': 0.2761, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=192_avg': 0.2752, 'K_BLOCKING=192_best': 0.2752, 'K_BLOCKING=192_kernel_type': 'dense', 'K_BLOCKING=256_avg': 0.27490000000000003, 'K_BLOCKING=256_best': 0.27490000000000003, 'K_BLOCKING=256_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.27799999999999997, 'K_BLOCKING=32_best': 0.27799999999999997, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=384_avg': 0.2782, 'K_BLOCKING=384_best': 0.2782, 'K_BLOCKING=384_kernel_type': 'dense', 'K_BLOCKING=512_avg': 0.2933, 'K_BLOCKING=512_best': 0.2933, 'K_BLOCKING=512_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.2777, 'K_BLOCKING=64_best': 0.2777, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.2762, 'K_BLOCKING=96_best': 0.2762, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.25, 'mat_file': 'data/example_mats/hex/p1/gauss-legendre/m460.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.3077, 'xsmm_reference_best': 0.3077, 'xsmm_reference_cpu_freq': 2.999888, 'xsmm_reference_kernel_type': 'dense'}
{'K_BLOCKING=0_avg': 0.6541, 'K_BLOCKING=0_best': 0.6541, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.6426999999999999, 'K_BLOCKING=128_best': 0.6426999999999999, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=192_avg': 0.6483, 'K_BLOCKING=192_best': 0.6483, 'K_BLOCKING=192_kernel_type': 'dense', 'K_BLOCKING=256_avg': 0.6324, 'K_BLOCKING=256_best': 0.6324, 'K_BLOCKING=256_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.6488, 'K_BLOCKING=32_best': 0.6488, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=384_avg': 0.65, 'K_BLOCKING=384_best': 0.65, 'K_BLOCKING=384_kernel_type': 'dense', 'K_BLOCKING=512_avg': 0.661, 'K_BLOCKING=512_best': 0.661, 'K_BLOCKING=512_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.6479, 'K_BLOCKING=64_best': 0.6479, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.6343, 'K_BLOCKING=96_best': 0.6343, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m0.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.6321, 'xsmm_reference_best': 0.6321, 'xsmm_reference_cpu_freq': 2.999887, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 0.5493, 'K_BLOCKING=0_best': 0.5493, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.5534, 'K_BLOCKING=128_best': 0.5534, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=192_avg': 0.5811, 'K_BLOCKING=192_best': 0.5811, 'K_BLOCKING=192_kernel_type': 'dense', 'K_BLOCKING=256_avg': 0.5595, 'K_BLOCKING=256_best': 0.5595, 'K_BLOCKING=256_kernel_type': 'dense', 'K_BLOCKING=32_avg': 1.0348000000000002, 'K_BLOCKING=32_best': 1.0348000000000002, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=384_avg': 0.5445, 'K_BLOCKING=384_best': 0.5445, 'K_BLOCKING=384_kernel_type': 'dense', 'K_BLOCKING=512_avg': 0.5568, 'K_BLOCKING=512_best': 0.5568, 'K_BLOCKING=512_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.5684, 'K_BLOCKING=64_best': 0.5684, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.5638, 'K_BLOCKING=96_best': 0.5638, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m3.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.5934, 'xsmm_reference_best': 0.5934, 'xsmm_reference_cpu_freq': 2.999938, 'xsmm_reference_kernel_type': 'sparse'}
{'K_BLOCKING=0_avg': 1.1794, 'K_BLOCKING=0_best': 1.1794, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=128_avg': 1.1955, 'K_BLOCKING=128_best': 1.1955, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=192_avg': 1.286, 'K_BLOCKING=192_best': 1.286, 'K_BLOCKING=192_kernel_type': 'dense', 'K_BLOCKING=256_avg': 1.1301999999999999, 'K_BLOCKING=256_best': 1.1301999999999999, 'K_BLOCKING=256_kernel_type': 'dense', 'K_BLOCKING=32_avg': 2.3663, 'K_BLOCKING=32_best': 2.3663, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=384_avg': 1.149, 'K_BLOCKING=384_best': 1.149, 'K_BLOCKING=384_kernel_type': 'dense', 'K_BLOCKING=512_avg': 1.1562, 'K_BLOCKING=512_best': 1.1562, 'K_BLOCKING=512_kernel_type': 'dense', 'K_BLOCKING=64_avg': 1.1728999999999998, 'K_BLOCKING=64_best': 1.1728999999999998, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=96_avg': 1.1829, 'K_BLOCKING=96_best': 1.1829, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m6.txt', 'size_n': 9600, 'xsmm_reference_avg': 1.1536, 'xsmm_reference_best': 1.1536, 'xsmm_reference_cpu_freq': 2.999888, 'xsmm_reference_kernel_type': 'sparse'}
{'K_BLOCKING=0_avg': 0.796, 'K_BLOCKING=0_best': 0.796, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.7551, 'K_BLOCKING=128_best': 0.7551, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=192_avg': 0.7377, 'K_BLOCKING=192_best': 0.7377, 'K_BLOCKING=192_kernel_type': 'dense', 'K_BLOCKING=256_avg': 0.8233, 'K_BLOCKING=256_best': 0.8233, 'K_BLOCKING=256_kernel_type': 'dense', 'K_BLOCKING=32_avg': 1.3617000000000001, 'K_BLOCKING=32_best': 1.3617000000000001, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=384_avg': 0.7875, 'K_BLOCKING=384_best': 0.7875, 'K_BLOCKING=384_kernel_type': 'dense', 'K_BLOCKING=512_avg': 0.7594000000000001, 'K_BLOCKING=512_best': 0.7594000000000001, 'K_BLOCKING=512_kernel_type': 'dense', 'K_BLOCKING=64_avg': 1.1093, 'K_BLOCKING=64_best': 1.1093, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.7454, 'K_BLOCKING=96_best': 0.7454, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m132.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.7828999999999999, 'xsmm_reference_best': 0.7828999999999999, 'xsmm_reference_cpu_freq': 2.999941, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 0.9379, 'K_BLOCKING=0_best': 0.9379, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.9837, 'K_BLOCKING=128_best': 0.9837, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=192_avg': 0.9369999999999999, 'K_BLOCKING=192_best': 0.9369999999999999, 'K_BLOCKING=192_kernel_type': 'dense', 'K_BLOCKING=256_avg': 1.0156, 'K_BLOCKING=256_best': 1.0156, 'K_BLOCKING=256_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.9398, 'K_BLOCKING=32_best': 0.9398, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=384_avg': 0.9925, 'K_BLOCKING=384_best': 0.9925, 'K_BLOCKING=384_kernel_type': 'dense', 'K_BLOCKING=512_avg': 0.9742000000000001, 'K_BLOCKING=512_best': 0.9742000000000001, 'K_BLOCKING=512_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.976, 'K_BLOCKING=64_best': 0.976, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.9393, 'K_BLOCKING=96_best': 0.9393, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre-lobatto/m460.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.9489000000000001, 'xsmm_reference_best': 0.9489000000000001, 'xsmm_reference_cpu_freq': 2.999939, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'K_BLOCKING=0_avg': 0.6592, 'K_BLOCKING=0_best': 0.6592, 'K_BLOCKING=0_kernel_type': 'dense', 'K_BLOCKING=128_avg': 0.6940999999999999, 'K_BLOCKING=128_best': 0.6940999999999999, 'K_BLOCKING=128_kernel_type': 'dense', 'K_BLOCKING=192_avg': 0.6462, 'K_BLOCKING=192_best': 0.6462, 'K_BLOCKING=192_kernel_type': 'dense', 'K_BLOCKING=256_avg': 0.6479, 'K_BLOCKING=256_best': 0.6479, 'K_BLOCKING=256_kernel_type': 'dense', 'K_BLOCKING=32_avg': 0.6618999999999999, 'K_BLOCKING=32_best': 0.6618999999999999, 'K_BLOCKING=32_kernel_type': 'dense', 'K_BLOCKING=384_avg': 0.6860999999999999, 'K_BLOCKING=384_best': 0.6860999999999999, 'K_BLOCKING=384_kernel_type': 'dense', 'K_BLOCKING=512_avg': 0.6964, 'K_BLOCKING=512_best': 0.6964, 'K_BLOCKING=512_kernel_type': 'dense', 'K_BLOCKING=64_avg': 0.6376999999999999, 'K_BLOCKING=64_best': 0.6376999999999999, 'K_BLOCKING=64_kernel_type': 'dense', 'K_BLOCKING=96_avg': 0.6416000000000001, 'K_BLOCKING=96_best': 0.6416000000000001, 'K_BLOCKING=96_kernel_type': 'dense', 'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats/hex/p2/gauss-legendre/m0.txt', 'size_n': 9600, 'xsmm_reference_avg': 0.6976, 'xsmm_reference_best': 0.6976, 'xsmm_reference_cpu_freq': 2.999919, 'xsmm_reference_kernel_type': 'sparse'}
