{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999937, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m0.txt', 'xsmm_reference_avg': 5.738, 'xsmm_reference_best': 5.738, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.99989, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m3.txt', 'xsmm_reference_avg': 3.781, 'xsmm_reference_best': 3.781, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.99995, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m6.txt', 'xsmm_reference_avg': 6.526, 'xsmm_reference_best': 6.526, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999927, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m132.txt', 'xsmm_reference_avg': 3.776, 'xsmm_reference_best': 3.776, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999913, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m460.txt', 'xsmm_reference_avg': 5.661, 'xsmm_reference_best': 5.661, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999954, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 13.051, 'xsmm_reference_best': 13.051, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999953, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 20.923, 'xsmm_reference_best': 20.923, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.99983, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 38.009, 'xsmm_reference_best': 38.009, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999844, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 28.432, 'xsmm_reference_best': 28.432, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999852, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 20.971, 'xsmm_reference_best': 20.971, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999923, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre/m0.txt', 'xsmm_reference_avg': 15.489, 'xsmm_reference_best': 15.489, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999973, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre/m3.txt', 'xsmm_reference_avg': 21.055, 'xsmm_reference_best': 21.055, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999832, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre/m6.txt', 'xsmm_reference_avg': 31.627, 'xsmm_reference_best': 31.627, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999927, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre/m132.txt', 'xsmm_reference_avg': 28.176, 'xsmm_reference_best': 28.176, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999968, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre/m460.txt', 'xsmm_reference_avg': 20.944, 'xsmm_reference_best': 20.944, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 96, 'a_rows': 96, 'a_size': 6144, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999931, 'density': 0.015625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 34.622, 'xsmm_reference_best': 34.622, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999865, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 40.95, 'xsmm_reference_best': 40.95, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999911, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 64.839, 'xsmm_reference_best': 64.839, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 192, 'a_nonzero': 672, 'a_rows': 64, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999909, 'density': 0.0546875, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 69.805, 'xsmm_reference_best': 69.805, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 672, 'a_rows': 192, 'a_size': 12288, 'a_unique': 14, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999907, 'density': 0.0546875, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 54.626, 'xsmm_reference_best': 54.626, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 384, 'a_rows': 96, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999928, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m0.txt', 'xsmm_reference_avg': 32.113, 'xsmm_reference_best': 32.113, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 64, 'a_size': 6144, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999912, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m3.txt', 'xsmm_reference_avg': 40.745, 'xsmm_reference_best': 40.745, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 96, 'a_nonzero': 384, 'a_rows': 192, 'a_size': 18432, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999832, 'density': 0.020833333333333332, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m6.txt', 'xsmm_reference_avg': 64.829, 'xsmm_reference_best': 64.829, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 192, 'a_nonzero': 768, 'a_rows': 64, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999919, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m132.txt', 'xsmm_reference_avg': 67.846, 'xsmm_reference_best': 67.846, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 64, 'a_nonzero': 768, 'a_rows': 192, 'a_size': 12288, 'a_unique': 16, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999831, 'density': 0.0625, 'mat_file': 'data/example_mats_small/hex/p3/gauss-legendre/m460.txt', 'xsmm_reference_avg': 55.649, 'xsmm_reference_best': 55.649, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 150, 'a_rows': 150, 'a_size': 18750, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999768, 'density': 0.008, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 57.489, 'xsmm_reference_best': 57.489, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 125, 'a_size': 18750, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999828, 'density': 0.04, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 74.728, 'xsmm_reference_best': 74.728, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 150, 'a_nonzero': 750, 'a_rows': 375, 'a_size': 56250, 'a_unique': 8, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999913, 'density': 0.013333333333333334, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 119.066, 'xsmm_reference_best': 119.066, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 375, 'a_nonzero': 1650, 'a_rows': 125, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999833, 'density': 0.0352, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 155.076, 'xsmm_reference_best': 155.076, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 125, 'a_nonzero': 1650, 'a_rows': 375, 'a_size': 46875, 'a_unique': 22, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999886, 'density': 0.0352, 'mat_file': 'data/example_mats_small/hex/p4/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 129.847, 'xsmm_reference_best': 129.847, 'xsmm_reference_kernel_type': 'wide-sparse'}
