{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999809, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m0.txt', 'xsmm_reference_avg': 6.198, 'xsmm_reference_best': 6.198, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999838, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m3.txt', 'xsmm_reference_avg': 3.786, 'xsmm_reference_best': 3.786, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 576, 'a_unique': 4, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999909, 'density': 0.08333333333333333, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m6.txt', 'xsmm_reference_avg': 6.488, 'xsmm_reference_best': 6.488, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 24, 'a_nonzero': 48, 'a_rows': 8, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999908, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m132.txt', 'xsmm_reference_avg': 3.774, 'xsmm_reference_best': 3.774, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 8, 'a_nonzero': 48, 'a_rows': 24, 'a_size': 192, 'a_unique': 2, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999904, 'density': 0.25, 'mat_file': 'data/example_mats_small/hex/p1/gauss-legendre/m460.txt', 'xsmm_reference_avg': 5.968, 'xsmm_reference_best': 5.968, 'xsmm_reference_kernel_type': 'sparse'}
{'a_cols': 27, 'a_nonzero': 54, 'a_rows': 54, 'a_size': 1458, 'a_unique': 1, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999926, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m0.txt', 'xsmm_reference_avg': 13.362, 'xsmm_reference_best': 13.362, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 27, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999911, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m3.txt', 'xsmm_reference_avg': 20.91, 'xsmm_reference_best': 20.91, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 54, 'a_nonzero': 162, 'a_rows': 81, 'a_size': 4374, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.99991, 'density': 0.037037037037037035, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m6.txt', 'xsmm_reference_avg': 37.988, 'xsmm_reference_best': 37.988, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 81, 'a_nonzero': 216, 'a_rows': 27, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999908, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m132.txt', 'xsmm_reference_avg': 28.169, 'xsmm_reference_best': 28.169, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 216, 'a_rows': 81, 'a_size': 2187, 'a_unique': 6, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999909, 'density': 0.09876543209876543, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre-lobatto/m460.txt', 'xsmm_reference_avg': 23.387, 'xsmm_reference_best': 23.387, 'xsmm_reference_kernel_type': 'wide-sparse'}
{'a_cols': 27, 'a_nonzero': 162, 'a_rows': 54, 'a_size': 1458, 'a_unique': 3, 'alpha': 1.0, 'beta': 0.0, 'cpu_freq': 2.999906, 'density': 0.1111111111111111, 'mat_file': 'data/example_mats_small/hex/p2/gauss-legendre/m0.txt', 'xsmm_reference_avg': 15.535, 'xsmm_reference_best': 15.535, 'xsmm_reference_kernel_type': 'wide-sparse'}
